API Name ,API Link ,API Description ,API Category ,API Category Link ,API Followers ,API Versions ,API Versions Link 
Google Maps API,https://www.programmableweb.com/api/google-maps," [This API is no longer available. Google Maps' services have been split into multiple APIs, including the Static Maps API, Street View Image API, Directions APIs, Distance Matrix API, Elevation API,...",Mapping,https://www.programmableweb.com/category/mapping," 4,090", ,https://www.programmableweb.com/api/google-maps-rest-api
Shopping.com API,https://www.programmableweb.com/api/shoppingcom," [This API has been acquired by eBay and now exists as eBay Commerce Network. This profile is being maintained purely for historical and research purposes.]
With the Shopping.com API you can...",eCommerce,https://www.programmableweb.com/category/ecommerce, 353, ,https://www.programmableweb.com/api/shoppingcom-rest-api
Oodle API,https://www.programmableweb.com/api/oodle, From their site: Oodle makes it easy to use online classifieds. We bring together loads of listings from hundreds of local and national sources and help you find exactly what you\'re looking for,eCommerce,https://www.programmableweb.com/category/ecommerce, 98, ,https://www.programmableweb.com/api/oodle-rest-api
Google Fusion Tables API,https://www.programmableweb.com/api/google-fusion-tables," Google Fusion Tables is a free service for sharing and visualizing data online. It lets you upload data, share and mark up your data with collaborators, merge data from multiple tables, and create...",Database,https://www.programmableweb.com/category/database, 102, ,https://www.programmableweb.com/api/google-fusion-tables-rest-api
MapLarge API,https://www.programmableweb.com/api/maplarge," MapLarge offers an API to embed interactive maps on a website, blog or news story. MapLarge is the creator of some of the largest Google Maps implementations on the Internet. MapLarge uses patent...",Mapping,https://www.programmableweb.com/category/mapping, 36, ,https://www.programmableweb.com/api/maplarge-rest-api
Mapbox API,https://www.programmableweb.com/api/mapbox, Mapbox is a suite of open source mapping tools. This API can be used to create interactive maps using a wide range of file formats and databases. It also allows users to host their maps so that they...,Mapping,https://www.programmableweb.com/category/mapping, 119, ,https://www.programmableweb.com/api/mapbox-rest-api-v40
Google Single SignOn API,https://www.programmableweb.com/api/google-single-signon," From their site: Security Assertion Markup Language (SAML) is an XML standard that allows secure web domains to exchange user authentication and authorization data. Using SAML, an online service...",Security,https://www.programmableweb.com/category/security, 61, ,https://www.programmableweb.com/api/google-single-signon-rest-api
IMSAS API,https://www.programmableweb.com/api/imsas," IMSAS LLC is a leading provider of Web Service solutions across a range of background screening data, MVR records, income and medical license verifications. IMSAS products are delivered using XML...",Database,https://www.programmableweb.com/category/database, 21, ,https://www.programmableweb.com/api/imsas-rest-api
Aviary Effects API,https://www.programmableweb.com/api/aviary-effects," Separate from its flagship Aviary API, an embedded photo editor, this API provides filters and effects. Developers can automatically fix red-eye and color adjust photos. Create watermarks so that all...",Photos,https://www.programmableweb.com/category/photos, 44, ,https://www.programmableweb.com/api/aviary-effects-rest-api
Alexa Top Sites API,https://www.programmableweb.com/api/alexa-top-sites, From their site: The Alexa Top Sites web service provides access to lists of web sites ordered by Alexa Traffic Rank. Using the web service developers can understand traffic rankings from the largest...,SEO,https://www.programmableweb.com/category/seo, 101, ,https://www.programmableweb.com/api/alexa-top-sites-rpc-api-v1
Rezgo API,https://www.programmableweb.com/api/rezgo," Rezgo is tour operator software designed for companies who run tours, activities, and attractions. Many of the companies using Rezgo for their on-line bookings include: whale watching tours, river...",Travel,https://www.programmableweb.com/category/travel, 41, ,https://www.programmableweb.com/api/rezgo-rest-api-0
FreshBooks API,https://www.programmableweb.com/api/freshbooks, The FreshBooks API is an interface for accessing FreshBooks data using JSON. The API can be used to create web and desktop applications that integrate with an account. API methods are available to...,Financial,https://www.programmableweb.com/category/financial, 116, ,https://www.programmableweb.com/api/freshbooks-rest-api
Bandcamp API,https://www.programmableweb.com/api/bandcamp," Bandcamp is a music discovery website and marketplace where artists can provide tracks to stream or download and earn money from music sales.
The Bandcamp features a RESTful interface and returns...",Music,https://www.programmableweb.com/category/music, 146, ,https://www.programmableweb.com/api/bandcamp-rest-api-v1
Amazon Flexible Payments Service API,https://www.programmableweb.com/api/amazon-flexible-payments-service," From their site: The first payments service designed from the ground up specifically for developers. The set of web services APIs allows the movement of money between any two entities, humans or...",Payments,https://www.programmableweb.com/category/payments, 110, ,https://www.programmableweb.com/api/amazon-flexible-payments-service-rpc-api
Images API,https://www.programmableweb.com/api/images," Images API is a service from Graphics Factory Clip Art allowing users to integrate royalty free clip art images into websites, applications, or print-on-demand services. The Images API supports XML...",Photos,https://www.programmableweb.com/category/photos, 28, ,https://www.programmableweb.com/api/images-rest-api
trakt.tv API,https://www.programmableweb.com/api/trakttv," Trakt helps keep a record of what TV shows and movies a user is watching. Based on user favorites, trakt recommends additional shows and movies. The Trakt API lets users integrate the trakt service...",Recommendations,https://www.programmableweb.com/category/recommendations, 284, ,https://www.programmableweb.com/api/trakttv-rest-api
Sensebot API,https://www.programmableweb.com/api/sensebot, Sensebot Semantic Cloud API features extraction of semantic concepts from a page; creating ï¿½semantic cloudï¿½ of concepts describing a group of documents; generating a multi-document summary of a...,Search,https://www.programmableweb.com/category/search, 16, ,https://www.programmableweb.com/api/sensebot-rpc-api
Yahoo BBauth API,https://www.programmableweb.com/api/yahoo-bbauth, From their site: You build great web applications. We have millions of users who store their data on Yahoo!. Browser-Based Authentication (BBAuth) makes it possible for your applications to use that...,Security,https://www.programmableweb.com/category/security, 26, ,https://www.programmableweb.com/api/yahoo-bbauth-rest-api
Pinterest API,https://www.programmableweb.com/api/pinterest," This API is RESTful, and it allows developers to use the Pinterest Pin features by integrating the API into their applications. API Methods are available for users, boards, pins, and sections....",Images,https://www.programmableweb.com/category/images, 207, ,https://www.programmableweb.com/api/pinterest-rest-api
Highcharts Highstock API,https://www.programmableweb.com/api/highcharts-highstock," Highcharts is a charting library that gives users access to interactive charts that can be added to a web site or web application. Highcharts currently supports line, spline, area, areaspline, column...",Tools,https://www.programmableweb.com/category/tools, 10, ,https://www.programmableweb.com/api/highcharts-highstock-indirect-api
TripAdvisor API,https://www.programmableweb.com/api/tripadvisor," TripAdvisor is one of the world's largest travel sites featuring reviews and advice on hotels, resorts, flights, vacation rentals, vacation packages, travel guides, and more. The sites operate in 30...",Travel,https://www.programmableweb.com/category/travel, 854, ,https://www.programmableweb.com/api/tripadvisor-rest-api-v20
Go Processing API,https://www.programmableweb.com/api/go-processing," Go Processing offers solutions to support online payment through mobile devices. Their API allows users to recharge mobile phones, DTH and data cards in India for more than 14 service providers. API...",Payments,https://www.programmableweb.com/category/payments, 41, ,https://www.programmableweb.com/api/go-processing-rest-api
awe.sm API,https://www.programmableweb.com/api/awesm," The easiest and most flexible way for developers, marketers, and publishers to harness social data in applications. Understand which users and behavior patterns drive more traffic, conversions, and...",Social,https://www.programmableweb.com/category/social, 17, ,https://www.programmableweb.com/api/awesm-rest-api
Adility API,https://www.programmableweb.com/api/adility," Adility is an online platform for local deals, such as coupons. Adility works with companies and merchants to connect them with publishers and developers for integration into other applications to...",eCommerce,https://www.programmableweb.com/category/ecommerce, 35, ,https://www.programmableweb.com/api/adility-rest-api
Global Biodiversity Information Facility API,https://www.programmableweb.com/api/global-biodiversity-information-facility," Global Biodiversity Information Facility (GBIF) enables access to over 7000 datasets by over 200 data providers as part of a UDDI Registry. Get species data, including plants, animals, fungi and...",Reference,https://www.programmableweb.com/category/reference, 41, ,https://www.programmableweb.com/api/global-biodiversity-information-facility-rest-api
Australian Business Number Lookup API,https://www.programmableweb.com/api/australian-business-number-lookup," ABN (Australian Business Number) Lookup. An XML interface to the ABN Lookup is available to registered users. Using this facility, you can integrate ABN lookups into your own applications. ABN Lookup...",Government,https://www.programmableweb.com/category/government, 28, ,https://www.programmableweb.com/api/australian-business-number-lookup-rpc-api
Pingdom API,https://www.programmableweb.com/api/pingdom," From their site: Pingdom has a very strong and narrow focus. That focus lies on covering the uptime monitoring needs of 90% of the companies in the world. Instead of branching out into other areas,...",Reference,https://www.programmableweb.com/category/reference, 13, ,https://www.programmableweb.com/api/strikeiron-us-census-rpc-api
